epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,126.172,0.70568,0.50067,1,0.70582,9.99291e-06,9.99291e-06,0.0800242
2,305.652,0.69742,0.5248,1,0.69507,1.94274e-05,1.94274e-05,0.0600336
3,408.987,0.6926,0.53121,1,0.68903,2.82962e-05,2.82962e-05,0.0400425
4,502.909,0.68601,0.52521,1,0.6903,3.65992e-05,3.65992e-05,0.0200508
5,597.187,0.67876,0.54964,1,0.68677,4.43366e-05,4.43366e-05,5.85109e-05
6,673.208,0.67252,0.55606,1,0.68603,4.29286e-05,4.29286e-05,4.29286e-05
7,749.294,0.66692,0.55057,1,0.68796,4.15143e-05,4.15143e-05,4.15143e-05
8,828.711,0.65986,0.55244,1,0.69706,4.01e-05,4.01e-05,4.01e-05
9,905.405,0.65354,0.54726,1,0.70014,3.86857e-05,3.86857e-05,3.86857e-05
10,980.581,0.64716,0.55254,1,0.70268,3.72714e-05,3.72714e-05,3.72714e-05
11,1054.74,0.64104,0.55989,1,0.71325,3.58571e-05,3.58571e-05,3.58571e-05
12,1130.24,0.63388,0.55513,1,0.72466,3.44429e-05,3.44429e-05,3.44429e-05
13,1204.62,0.62865,0.55513,1,0.72811,3.30286e-05,3.30286e-05,3.30286e-05
14,1278.35,0.62357,0.55855,1,0.73043,3.16143e-05,3.16143e-05,3.16143e-05
15,1348.35,0.61449,0.5571,1,0.73934,3.02e-05,3.02e-05,3.02e-05
16,1424.03,0.61175,0.55689,1,0.74408,2.87857e-05,2.87857e-05,2.87857e-05
17,1495.26,0.60948,0.55585,1,0.75296,2.73714e-05,2.73714e-05,2.73714e-05
18,1565.78,0.60008,0.55606,1,0.75908,2.59571e-05,2.59571e-05,2.59571e-05
19,1634.59,0.59788,0.55637,1,0.76447,2.45429e-05,2.45429e-05,2.45429e-05
20,1703.85,0.59353,0.55689,1,0.7693,2.31286e-05,2.31286e-05,2.31286e-05
21,1774.51,0.58599,0.55347,1,0.77411,2.17143e-05,2.17143e-05,2.17143e-05
22,1845.33,0.58281,0.55089,1,0.77726,2.03e-05,2.03e-05,2.03e-05
23,1919.38,0.5824,0.55223,1,0.78035,1.88857e-05,1.88857e-05,1.88857e-05
24,1989.18,0.57748,0.55296,1,0.78382,1.74714e-05,1.74714e-05,1.74714e-05
25,2061.08,0.5743,0.55171,1,0.78665,1.60571e-05,1.60571e-05,1.60571e-05
26,2199.74,0.57008,0.55254,1,0.78917,1.46429e-05,1.46429e-05,1.46429e-05
27,2279.04,0.56757,0.55202,1,0.79118,1.32286e-05,1.32286e-05,1.32286e-05
28,2358.58,0.56262,0.55037,1,0.79411,1.18143e-05,1.18143e-05,1.18143e-05
29,2432.94,0.56408,0.55223,1,0.79653,1.04e-05,1.04e-05,1.04e-05
30,2508.71,0.5598,0.55078,1,0.79872,8.98571e-06,8.98571e-06,8.98571e-06
31,2583.04,0.56115,0.55037,1,0.80143,7.57143e-06,7.57143e-06,7.57143e-06
32,2652.13,0.55197,0.55068,1,0.80396,6.15714e-06,6.15714e-06,6.15714e-06
33,2724.58,0.55241,0.55089,1,0.80647,4.74286e-06,4.74286e-06,4.74286e-06
34,2799.06,0.55375,0.55089,1,0.80896,3.32857e-06,3.32857e-06,3.32857e-06
35,2877.67,0.55095,0.5512,1,0.81081,1.91429e-06,1.91429e-06,1.91429e-06
