epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.159,0.24975,0.83122,1,0.61874,1.92857e-05,1.92857e-05,0.0807336
2,24.6784,0.04457,0.81118,1,0.68158,3.79893e-05,3.79893e-05,0.0607523
3,48.1789,0.0137,0.81118,1,0.82037,5.53729e-05,5.53729e-05,0.0407697
4,73.7543,0.01038,0.81751,1,0.97412,7.14364e-05,7.14364e-05,0.0207857
5,102.308,0.00727,0.81751,1,1.04785,8.618e-05,8.618e-05,0.000800466
6,140.525,0.00497,0.81751,1,1.05975,8.35e-05,8.35e-05,8.35e-05
7,169.251,0.00566,0.81751,1,1.03851,8.02e-05,8.02e-05,8.02e-05
8,197.883,0.00452,0.81751,1,1.02368,7.69e-05,7.69e-05,7.69e-05
9,209.539,0.00314,0.81751,1,0.99518,7.36e-05,7.36e-05,7.36e-05
10,215.513,0.00264,0.81751,1,1.04669,7.03e-05,7.03e-05,7.03e-05
11,235.757,0.00263,0.81751,1,1.06903,6.7e-05,6.7e-05,6.7e-05
12,254.471,0.0024,0.81751,1,1.06183,6.37e-05,6.37e-05,6.37e-05
13,267.956,0.00171,0.81751,1,1.05286,6.04e-05,6.04e-05,6.04e-05
14,280.552,0.00159,0.81751,1,1.07489,5.71e-05,5.71e-05,5.71e-05
15,293.653,0.00188,0.81751,1,1.07391,5.38e-05,5.38e-05,5.38e-05
16,307.033,0.00173,0.81751,1,1.06268,5.05e-05,5.05e-05,5.05e-05
17,320.39,0.00334,0.81751,1,1.06195,4.72e-05,4.72e-05,4.72e-05
18,325.561,0.00128,0.81751,1,1.13446,4.39e-05,4.39e-05,4.39e-05
19,330.62,0.00211,0.81751,1,1.15149,4.06e-05,4.06e-05,4.06e-05
20,335.549,0.00181,0.81751,1,1.14783,3.73e-05,3.73e-05,3.73e-05
21,383.001,0.00109,0.81751,1,1.177,3.4e-05,3.4e-05,3.4e-05
22,418.593,0.00114,0.81751,1,1.12976,3.07e-05,3.07e-05,3.07e-05
23,432.278,0.00111,0.81751,1,1.17999,2.74e-05,2.74e-05,2.74e-05
24,437.017,0.00188,0.81751,1,1.1861,2.41e-05,2.41e-05,2.41e-05
25,441.908,0.00131,0.81751,1,1.19006,2.08e-05,2.08e-05,2.08e-05
26,446.562,0.00137,0.81751,1,1.18365,1.75e-05,1.75e-05,1.75e-05
27,452.11,0.00187,0.81751,1,1.15588,1.42e-05,1.42e-05,1.42e-05
28,458.488,0.00133,0.81751,1,1.17529,1.09e-05,1.09e-05,1.09e-05
29,466.007,0.003,0.81751,1,1.18457,7.6e-06,7.6e-06,7.6e-06
30,474.921,0.00173,0.81751,1,1.13031,4.3e-06,4.3e-06,4.3e-06
